,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,seed,npz_flag,train_set,test_set,model_family
22,efficientnet-b4,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b4.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.56804,2.102716176274363,0.5836312366452943,0.6898528933525085,,0,,imagenet,imagenet_c_fog_3,Neural Network
23,efficientnet-b4-autoaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b4-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.61086,1.8522050172096585,0.5305119535848001,0.6417463421821594,,0,,imagenet,imagenet_c_fog_3,Neural Network
24,efficientnet-b5,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b5.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.58006,1.963574760733731,0.5569296454076622,0.6221885681152344,,0,,imagenet,imagenet_c_fog_3,Neural Network
25,efficientnet-b5-autoaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b5-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.64422,1.6220525214165635,0.479876476356149,0.5737358331680298,,0,,imagenet,imagenet_c_fog_3,Neural Network
26,efficientnet-b5-randaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b5-randaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.62224,1.7510933694491349,0.5023750723465409,0.5670345425605774,,0,,imagenet,imagenet_c_fog_3,Neural Network
27,efficientnet-b6-autoaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b6-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.64766,1.6449236511601462,0.4827128916807894,0.6195446252822876,,0,,imagenet,imagenet_c_fog_3,Neural Network
28,efficientnet-b7-autoaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b7-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.63522,1.704668235165514,0.49579074647080656,0.6099170446395874,,0,,imagenet,imagenet_c_fog_3,Neural Network
29,efficientnet-b7-randaug,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_efficientnet-b7-randaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.68448,1.439485166061297,0.43154361991815754,0.5349985361099243,,0,,imagenet,imagenet_c_fog_3,Neural Network
30,fbresnet152,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_fbresnet152.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.52904,2.174972736908069,0.6083551720343982,0.5146695774536584,,0,,imagenet,imagenet_c_fog_3,Neural Network
31,googlenet_inceptionv1,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_googlenet_inceptionv1.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.39718,2.9673210808779307,0.7400101720034112,0.7692287951453799,,0,,imagenet,imagenet_c_fog_3,Neural Network
32,inceptionresnetv2,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_inceptionresnetv2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.58506,1.9543851984305194,0.5482584191758229,0.490556183666344,,0,,imagenet,imagenet_c_fog_3,Neural Network
33,inceptionv3,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_inceptionv3.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.4636,2.718945296701025,0.6838392474226792,0.6222251752643106,,0,,imagenet,imagenet_c_fog_3,Neural Network
34,inceptionv4,/datahd3a/imagenet_testbest_outputs/logits/imagenet-c.fog.3_on-disk/imagenet-c.fog.3_on-disk_|_inceptionv4.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.59002,1.9457214848556743,0.5451585312210036,0.4807520689936775,,0,,imagenet,imagenet_c_fog_3,Neural Network
